F3_Haupteinkaufsstaette;F7_2_ERWARTUNGEN_1;F7_1.1_ZUFR_BEGR_offen
Aldi Süd;4;Für mich passendes Angebot, ich selbst merke die Erweiterung von veganen Angeboten (die finde ich noch schneller gehen sollte und mehr Produkte dauerhaft im Sortiment sein sollten), sehr freundliche Mitarbeiter, gute Parkmöglichkeiten. Mein Stimme voll und ganz zu hätte mein Aldi bekommen, wenn die Dachfläche mit einer Solaranlage versehen wäre.
Kaufland;3;Große Auswahl
Penny;4;Große Auswahl an veganen Produkten und zu guten Preisen
Rewe;2;Weil k sie  übersichtlich ist
Rewe;5;gute Ware, freundliche Mitarbeiter, angenehme Athmosphäre
Netto (Rot);5;liegt in der nähe, es gibt oft günstige angebote
Lidl;4;gute preise
Edeka;4;Das, was ich brauche, finde ich dort!
Edeka;4;ka
Aldi Süd;5;Alles vorhaben was man braucht
Netto (Rot);4;Personal manchmal komisch
Kaufland;4;Gemüse und Obst sieht nicht immer frisch aus und ist ausreichend vorhanden
Aldi Süd;4;Passt alles
Penny;3;ist nicht alles aufgefüllt, wenn ich einkaufen gehe
Rewe;4;ich finde was ich brauch
Aldi Süd;5;hat alles was man braucht
Penny;5;alles super
Edeka;3;.
Penny;2;Die Filiale ist immer sehr chaotisch und unaufgeräumt. Außerdem mangelt es dort an Produkten, die man in anderen Penny-Märkten bekommt.
Rewe;5;Die Mitarbeiter sind freundlich und ein guter Service
Aldi Nord;5;Bekomme da alles, was ich brauche
Real;4;Man bekommt eigentlich alles, was man braucht.
Edeka;4;-
Edeka;4;weissnicht
Edeka;3;klein und übersichtlich
Lidl;4;finde ich einfach gut
Rewe;5;Bekomme alles, was ich brauche.
Lidl;4;Es ist nicht immer alles da was ich brauche
Edeka;5;gut zu erreichen ,großer Parkplatz ,gr0es Sortiment und sauber
Kaufland;5;Sehr große Auswahl
Edeka;4;ist qualitativ ok
Lidl;5;Ich kenne die Menschen die dort arbeiten schon sehr lange und würde bis heute noch nicht enteuscht.
Edeka;5;Es gibt große Auswahl
Netto (Rot);5;alles da was man braucht
Kaufland;4;schnelle kassen , frisches gemüse freunliche angestellte
Edeka;5;Der Verkaufsraum ist hell, übersichtlich und sauber. Die Ware ist frisch und gut plaziert. Das Verkaufspersonal sehr freundlich.
Lidl;5;Frische Ware, immer ausreichende Menge an Waren vorhanden. Preis / Leistung völlig in Ordnung
Kaufland;4;große auswahl aber leider ab und zu schlechte qualität (gemüse und obst)
Edeka;4;alles wie ich es erwarte
Globus;5;große Vielfalt
Rewe;5;Tolles sortiment mit fairen preisen, alles übersichtlich und sehr sauber. Super freundliches und hilfsbereites Personal (bin gehbehindert), dazu perfekte parkmöglichkeiten
Norma;3;Ist nicht immer alles frisch
Penny;5;Dort vbekomme ich alles Nötige frisch und preiswert. Der Vorteil für Penny ist bei uns, dass die Filiale uns am Nächsten liegt. Zudem können wir hier auch günstig Tabak erwerben, bekommen auch Telefonkarten etc.
Edeka;4;ich bin sehr zufrieden
Rewe;5;Alle sind immer freundlich und es ist sauber.
Andere;4;Kurze Wartezeiten an der Kasse, gute Anbindung, Parkplätze und nicht so überfüllt und stressig als wo anders
Kaufland;3;Großes Sortiment, aber oft sind die Angebote nach kurzer Zeit nicht mehr verfügbar (schlechte oder falsche Disposition?).
Globus;5;Sauber , frisch und immer alles da
Aldi Süd;4;Einfach zu erreichen, gute Parkmöglichkeiten, leider nicht immer alle Artikel vorrätig, die ich kaufen möchte
Edeka;4;gibt alles was ich will
Lidl;5;hat bis auf ein bis zwei Lebensmittel alles was wir mögen, gute Angebote und gut zu erreichen
Real;5;Alles was ich brauche finde ich hier,selbst abend gibt es keine Probleme
Rewe;3;habe keine
Lidl;4;Alles gut
Norma;4;sie ist gut für mich erreichbar und hat fast alles was man so braucht
Lidl;4;freundliche Mitarbeiter, frisch renovierte filiale
Lidl;4;gutes Obst und Gemüse
Tegut;4;Tlw. gute Preise, gute Erreichbarkeit
Lidl;5;Die Mitarbeiterinnen sind immer bemüht, dass es sauber und ordentlich aussieht. Leider macht es oft die Kundschaft kaputt. Aber man merkt die Liebe im Markt
Rewe;4;nahe gelegen, alles da
Lidl;4;Gefühl
Netto (Rot);4;Sie hat eine frischfleischtheke und immer super Angebote
Aldi Nord;5;hat hast alles was ich brauche
Rewe;3;-
Edeka;4;leicht erreichbar, gute Angebote, vielfältiges Angebot
Andere;4;kurzer Anfahrtsweg, vielfältiges Angebot
Kaufland;4;geräumig, günstig
Rewe;4;Die wichtigsten Produkte findet man dort
Real;4;Bekomme fast immer alles
Kaufland;2;Viele Sachen nicht in ausreichender Menge
Edeka;3;Angebot mich sehr groß
Edeka;4;Grundsätzlich gutes Sortiment, aber teilweise sind die Regale leer
Aldi Nord;5;Man kennt sich und die Filiale liegt auf meinem Heimweg
Aldi Nord;4;Preis Leistung Verhältnis könnte besser sein
Penny;4;Größtenteils nettes Personal, man findet alles recht gut
Aldi Nord;5;Weiträumig,bequemes Einkaufen
Lidl;5;Sauber, viel Auswahl
Lidl;4;----
Rewe;4;?
Lidl;5;ich finde gute Qualität und frische Produkten
Kaufland;5;hat alles was ich brauche
Lidl;4;Gutes Sortiment, sauber
Edeka;5;Großes, sauberes Geschäft in dem man fast alles bekommt
Lidl;4;Die Ware ist frisch und die Filiale ist gut aufgestellt. Ebenso sind Sonderangebote immer in ausreichender Menge vorhanden.
Penny;5;gute Ware und gute Preise
Kaufland;5;nah,günstig&alles auf lager
Edeka;5;grosse Asuwahl in sehr guter Qualität
Lidl;4;Die Filiale hat alles was ich für meinen wocheneinkauf brauche
Aldi Nord;4;Großer neuer Laden
Rewe;4;Sortiment teilweise ausbaufähig
Aldi Süd;5;Super Geschäft
Lidl;4;günstige preise
Netto (Schwarz);5;Ich bekomme alles was ich brauche
Rewe;5;Ich finde da alles, was ich brauche
Netto (Rot);5;Mitarbeiter sind sehr nett und hilfsbereit
Edeka;5;Fast alles was ich brauche ist dort zu finden
Edeka;4;ich bekomme alles was ich brauche, große auswahl
Aldi Süd;4;ortsnah, Obst- und Gemüseabteilung meist schon sehr ausgesucht
Netto (Rot);5;Nette Mitarbeiter. Schön sortiert und sauber.
Rewe;5;Wirkt sehr hygienisch
Edeka;4;Gut erreichbar, viele Angebote
Aldi Süd;4;praktisch immer alles da
Lidl;5;Gute Auswahl und tolles Personal
Lidl;5;Hat alles, super nett. Kein Grund nicht zufrieden zu sein.
Lidl;5;Immer alles vorrätig und meist frisch
Real;3;Viele Marken verschwinden plötzlich. Man weiss nicht warum.
Lidl;4;Sauber, gut erreichbar
Penny;4;Könnten vegetarische Produkte ins Sortiment aufnehmen
Lidl;4;Die Filiale liegt auf meinem Heimweg von der Arbeit und hat alles im Sortiment was ich benötige.
Netto (Rot);4;gute qualität
DM;5;Man bekommt alles was man braucht!
Lidl;5;Qualität ist gut und günstig
Rewe;5;Warum sind wir auf der Welt das weiß niemand. Aber auch dort oben ist die Luft so dünn wie unten. Für uns alle wird es werden.
Penny;4;gleich um die Ecke, Mitarbeiter könnten freundlicher sein
Edeka;4;.
Lidl;4;Hat meistens was ich suche
Lidl;4;ko
Netto (Rot);5;preisgünstig, sehr nahe gelegen,
Lidl;4;Billig und günstig
Kaufland;4;Große Auswahl
Aldi Süd;4;O.A.
Netto (Rot);3;Sonderangebote sind oftmals nicht vorhanden
Andere;3;manche dinge gibt es nicht
Lidl;4;Weil alle sehr freundlich sind und es schnell an der Kasse geht
Netto (Rot);5;große und preisgünstige Angebote
Netto (Rot);4;einfach und schnell. Haben alles im Lädchen was man zum leben braucht
Rewe;4;Gute Auswahl
Edeka;5;Sauerkeit top, sehr umfangreiches Sortiment, freundliches Personal, große Fisch-Wurst-Fleisch-Käse-Bedientheke
Lidl;4;Der Shop könnte etwas aufgeräumter und sauberer sein  Personal ist super freundlich und kompetent
Kaufland;3;Man bekommt zwar was man will aber das Personal lässt zu wünschen übrig
Rewe;3;Alles gut aber Obst nicht so gut
Kaufland;3;Manchmal ist es icht angenehm hier einkaufen zu gehen aufgrund von unübersichtlich keit und mangelnder Sauberkeit
Aldi Nord;4;Gänge zwischen den Regalen sehr eng
Aldi Süd;4;gut erreichbar, ermöglicht schnelle einkäufe
Netto (Schwarz);3;Ständig wechselndes Sortiment.Freundliches Personal
Edeka;5;sauber und aufgeräumt
Lidl;5;Lidl ist meine libste  lebensmittegeschäft
Penny;4;Ist für mich ganz ok
Aldi Süd;4;Qualität und Preis stimmen
Rewe;5;Ist in der Nähe. Hat ueberwiegend alles was ich brauche
Lidl;4;keine
Lidl;4;frisch,sauber, freundlich,
Netto (Rot);5;Nette Mitarbeiter, Ich bekomme fast immter das was ich kaufen möchte
Lidl;4;Man bekommt in der Regel fast alles, was man braucht. Obst und Gemüseangebot sind sehr gut.
Lidl;4;Sehr gutes Obst- & Gemüseauswahl
Kaufland;5;Es ist immer alles da was ich möchte
Rewe;3;Viele Sonderangebote sind nicht ausreichend vorhanden.  Teilweise versuchen Verkäufer zu tricksen.
Edeka;5;Freundliches Personal, alles da was ich brauche und nur 3 min. Fußweg
Edeka;5;nettes Personal, angenehme Atmosphäre
Real;2;miserable verfügbarkeit der angebote
Netto (Rot);4;günstig unf in der nähe
Lidl;5;Gutes Angebot an Obst und Gemüse
Kaufland;5;gute Auswahl,PREIS-Leistungsverhältnis
Rewe;5;Rewe hat eine super große Auswahl, ist stets sauber und die Waren sind toll angerichtet!
Kaufland;5;Ich finde es sehr schade, dass Kaufland alle Knorr Produkte aus dem Sortiment genommen hat, so muss ich leider immer noch woanders einkaufen gehen. Die anderen Produkte sind aber alle klasse und es ist immer alles sauber und aufgeräumt.
Aldi Nord;4;Kaufe dort gerne ein,preiswert und nette Leute da
Netto (Rot);5;Bekomme alles war ich für den Haushalt benötige.
Lidl;4;man bekommt meist das gewünschte
Edeka;4;nette angestellte, übersichtliches sortiment
Globus;5;großes Sortiment, gute Preise, Tankrabatt, kompetentes Personal, Frische in allen Bereichen sehr gut, kostenlose Parkplätze
Lidl;5;gehe gerne dort einkaufen. Finde fast alles dort. Mitarbeiter sind freundlich und Geschäft ist sauber
Kaufland;5;große Vielfalt, Region und Bio, gute Sonderangebote
Edeka;5;die Edeka Filiale in der ich einkaufe wurde neu eröffnet, hat ein breites Angebot, wirkt einladend, das Personal ist hilfsbereit und freunlich
Netto (Rot);4;Finde größtenteils das was ich brauche (genug Vorrat ist da) und die Verkäufer sind nett und arbeiten ordentlich.
Lidl;3;Von mir bevorzugtes Brot wurde aus dem Sortiment genommen(allerdings nur in DIESER Filliale) und auf Anfrage kam mehrfach eine unfreundliche Rückmeldung von der Zentrale
Rewe;4;xxxx
Aldi Nord;4;manchmal dauert die an der Kasse unnötig zu lange, weil es oft an Personal mangelt
Jibi Markt;2;weiß nicht
Kaufland;2;ich arbeite da
Rewe;5;immer frische Angebote
Penny;4;Ich bekomme bei Penny alles was ich brauch für den täglichen Bedarf. Es gibt gute Sonderangebote und das preisleistungsverhältnis stimmt
Lidl;5;Man bekommt fast alles zu guten Preisen
Aldi Nord;4;alles gut!
Aldi Süd;5;Freundliche Mitarbeiter sauber fast alle Produkte vorrätig.
Hit;4;Gute Auswahl, gute Parkmöglichkeiten
Aldi Süd;5;Alles Bestens
Penny;4;Obst u Gemüse nicht immer frisch
Aldi Nord;4;Gut erreichbar, gutes Preis-Leistungsverhältnis, großes Sortiment
Kaufland;4;Viel Angebot und günstige Preise
Aldi Süd;4;gut organisiert, oft zu wenige kassen
Rewe;5;alles da was ich brauche, sehr nette Mitarbeiter
Lidl;5;Sehr nettes und freundliches Personal
Lidl;4;Es ist sauber und übersichtlich, angebote zum beginnenden Zeitraum immer vorhanden
Rewe;5;Nette Mitarbeiter Saubere Filiale Gute Auswahl
Lidl;4;Ist gut erreichbar und hat gutes Sortiment
Rewe;3;Jh
Netto (Schwarz);5;gutes günstiges angebot
Penny;3;Es ist alles für den täglichen Gebrauch vorhanden und die Preise sind vollkommen in Ordnung!
Edeka;4;Alles top
Rewe;4;Sehr nettes Personal, überwiegend frische Ware, sehr gut abgestimmtes Sortiment, angenehme Ladenaufteilung
Aldi Süd;5;ich bekomme immer alles was ich einkaufen will
Aldi Süd;5;Moderne Erscheinung, gute Angebote, freundliches Personal
Rewe;3;Markt sauber, aber schlechter sortiert als zB in einem Rewe Center
Hit;5;gute Atmosphäre und Qualität
Lidl;4;gutes Produktangebot,günstige Preise
Netto (Rot);4;It is convenient to shop there and their customer service is good
Rewe;4;es gibt meistens frisches Obst und Gemüse.
Kaufland;2;alt
Lidl;5;Auch Sonntags geöffnet
Amazon;4;dss
Lidl;3;Ist manchmal sehr unordentlich und nicht immer die Regale aufgefüllt.
Edeka;4;Ich bekomme alles was ich brauche und dort herrscht eine angenehme Atmosphäre.
Norma;4;könnte mehr auswahl der produkte da seit
Aldi Süd;4;hsja
Lidl;5;Alles gut
Penny;4;gut
Rewe;5;reichhaltiges Angebot, gute Frischetheke
Rewe;5;Große Auswahl, modern und freundliche Ausstattung
Edeka;5;Sauber, neu, große Auswahl
Netto (Rot);4;bietet verschiedene dinge mit günstige angebote
Edeka;4;Neu umgebaut. Leute mehr als freundlich
Norma;5;Gutes Personal gut sortiert und aufgeräumt
Lidl;4;sauber freundlich frisch
Lidl;4;?
Rewe;4;Sie ist gut zu erreichen mit freundlichem Personal. Auswahl manchmal begrenzt.
Tegut;3;Sie ist klein aber fein. Das Angebot ist sehr begrenzt, aber sie bietet das Notwendigste und liegt nah an meiner Wohnung. Sollte ich speziellere Sachen brauchen, fahre ich zu anderen Läden.
Lidl;4;ordentlich sauber nett
Rewe;4;große Wahl
Combi;4;preis-leistungsverhältnis sind o.k.
Netto (Rot);2;Preis- Leistungsverhältnis ist gut, aber der Verkaufsraum ist sehr eng. Richtig stressig wird es an der Kasse. Die Artikel werden in einem Höllentempo über den Scanner gezogen, und dann ist nur eine winzige Ablagefläche für die Waren vorhanden.
Norma;4;ist nicht immer alles im angebot
Netto (Rot);4;Breites Sortiment, günstige Preise ,sauberer laden
Kaufland;4;Gutes Sortiment
Netto (Rot);3;Oft fehlen Produkte , die normalerweise im Sortiment sind, diese sind teilweise gar nicht mehr vorhanden, bzw. sind am Lager, aber nkcht in die Regale eingeräumt. Häufig stehen Paletten und Karton in den Gängen
Lidl;4;Gute Erfahrungen
Aldi Nord;5;Toller großer neuer Markt
Rewe;4;Sauber, freundlich
Rewe;5;Sauber Ordentlich Freundlich und aufmerksam
Rewe;5;eine super Rewefiliale
Edeka;5;Alles da
Lidl;2;Zu voll, lange Wartezeit
Rewe;4;------------
Rewe;4;Beim Einkauf ist alles in Ordnung. Es geht schnell und ist nett.
Kaufland;4;großes angebot
Edeka;4;Alles gut
Netto (Rot);5;Wirkt sehr aufgeräumt und die kassier sind freundlich. Es fehlt eigentlich nur noch das kontaktlose nfc bezahlen
Penny;5;Freundliche Mitarbeiter, frische Ware
Rewe;5;Ich bekomme alles was ich brauche, zu guten Preisen und in guter Qualität.
Lidl;4;alles ist da
Netto (Rot);5;Bekomme alles was ich brauche
Kaufland;5;sauber und alles gut erreichbar
Aldi Süd;4;Ich bin zu
Aldi Nord;4;hier bekomme ich fast alles, preiswert
Lidl;5;gut organisiertes Geschäft
Lidl;4;Es ist nicht zu weit weg und in der Regel erhalte ich alles, was ich brauche/kaufen will. Gelegentlich sind Dinge des täglichen Bedarfs, wie Obst/Gemüse oder Brot montags nicht verfügbar und gelegentlich muss man lange an der Kasse warten
Kaufland;4;ich bekomme alles in einem Markt
Aldi Süd;4;alles was man braucht ist meistens da. sauber und ordentlich
Edeka;5;sauber
Edeka;4;gut geführter Einzelhändler
Andere;5;gute auswahl, gute preise
Netto (Rot);5;Sie ist in der Nähe und hat fast alles was ich brauche
Combi;4;Man muss gut auf abgelaufene Artikel achten, da diese nicht immer direkt weggeräumt werden. Kassen zahlreich vorhanden aber oft, trotz hohem Andrang, nicht besetzt.
Edeka;4;Edeka ist immer einen Besuch wert
Kaufland;5;sehr freundliches Personal und sehr sauber, alle Waren übersichtlich angeordnet
Edeka;3;recht gute Rundumverxorgung
Edeka;4;passt fast alles
Norma;4;keine Angaben
Lidl;4;ok
Edeka;5;Hat alles was wir von dort benötigen
Rewe;4;Sehr gutes abwechslungsreiches Angebot, aber vergleichsweise teuer
Kaufland;4;Es ist alles für den tgl. Bedarf vorhanden.
Kaufland;4;manchmal Stau an der Kasse
Edeka;4;Manchmal unfreundlich
Rewe;5;sauber und guter service
Kaufland;3;man findet alles
Rewe;5;Prima und freundlich
Lidl;4;Vielfälitiges Obst/Gemüse
Kaufland;5;passt, bekomme alle Artikl, die ich benötige
Edeka;5;Top Auswahl und frische und der Markt meines Vertrauens
Lidl;5;top, vor ca 1 jahr renoviert
Penny;4;Meistens sind alle gewünschten Artikel vorrätig. Die Filiale ist sauber.
Norma;4;Norma hat oft viele Produkte nicht vorrätig, deshalb bin ich nicht ganz zufrieden.
Lidl;5;nete bedienung
Real;4;Ich finde real gut
Kaufland;4;Bietet alles..
Netto (Rot);4;übersichtlich,preiswert,nahe an der wohnung
Aldi Nord;5;Alles gut sotiert und vorhanden
Rewe;3;Die Filiale ist okay. Ich warte jedoch auf die Neueröffnung in einem benachbarten Gebäude mit hoffentlich größerer Auswahl.
Andere;5;ein breit und gut sortierter Markt mit Frisch Fisch
Real;5;sehr gute Qualität und Auswahl, sehr freundliche Mitarbeiter
Penny;4;Ist ordentlich
Netto (Rot);4;gute Preise ordentlicher Laden
Aldi Süd;4;ist so
Rewe;4;In der Nähe
Alnatura;4;weiß nicht
Real;5;Qualitativ
Netto (Rot);5;gehe dort sehr gern einkaufen, vor allem sehr freundliches Personal
Kaufland;4;Ganz zufrieden wäre ich wenn Angebote auch vorrätig wären.
Edeka;4;Sauber, übersichtlich, freundliche Mitarbeiter
Rewe;4;rtegdf
Rewe;5;Was kann man sagen im allgemeinen die Verkäufer und der lang er sind sehr freundlich
Edeka;4;Gut zu erreichen.
Andere;5;Übersichtlich, sauber, schöne Obst und Gemüse Abteilung, breitgefächertes Angebot
Penny;4;Überwiegend für mich gutes Angebot! Leider in unregelmäßigen Abständen Ausverkäufe bzw. zu wenig Ware!
Lidl;5;Freundlich sauber und 100m entfernt
Rewe;4;Manchmal sind Angebotsprodukte nicht da, einige Male war das Personal unfreundlich
Netto (Rot);5;angebot ist ausreichend, gutes obst- und gemüseangebot
Netto (Rot);4;gute angebote
Aldi Süd;5;Qualität stimmt,Filiale ist gut zu erreichen.es passt.
Aldi Nord;5;Sauber. Freundlich. Auswahl Preis
Edeka;3;man kann fast alles kaufen
Netto (Rot);4;Nette Verkäufer und immer alles frisch
Penny;4;Gut zu erreichen und günstig und sauber
Lidl;3;könnte MEHR AUF DIE Ablauf DATEN ACHTEN
DM;4;ok
Andere;5;In der Filiale gibt es alles was man zum Leben braucht.
Rewe;4;Gute Auswahl, frische produkte, aber lange wartezeiten ander Kasse
Aldi Nord;4;Meistens alles erhältlich,immer sauber und ordentlich, genug Parkplätze
Penny;4;es gibt Payback Punkte
Edeka;4;Gute lage, alles da
Edeka;4;so
Lidl;5;sauber, hilfsbereit, preiswert
Aldi Süd;4;teils freundliches Personal
Real;5;einmal hin alles drin
Rewe;3;Ich finde nicht immer alles, was ich suche.
Netto (Rot);4;manchmal sind nicht die benötigten Artikel vorrätig
Rewe;4;Gute Angebot
Lidl;5;Alles was ich brauch
Edeka;5;Ich bekomme alles was ich benötige, tolle Mitarbeiter
Kaufland;5;Immer nette u freundliche Mitarbeiter, sehr sehr sauber, hervorragendes Angebot günstiges Preisleistungsverhältnis
Aldi Nord;5;Das was ich brauche bekomme ich bei Aldi
Kaufland;4;auftretende Probleme werden schnell gelöst
Real;4;angenehmes einkaufen, ich bekomme alles was ich benötige und habe eine gute Auswahl
Lidl;5;Es ist so, wie ich es mir vorstelle,gu einzukaufen. Sauber,kompetente Mitarbeiter sind ?immer freundlich
Lidl;4;Frisch und Preiswert
Rewe;4;nähe
Kaufland;3;Alle was man braucht an einem Platz
Aldi Nord;5;Ich gehe gerne bei Aldi Nord einkaufen.
Kaufland;3;eigentlich zufrieden, aber es verschwinden zu oft liebgewonnene Produkte aus dem Angebot und keiner weiß warum und ob die mal wiederkommen.
Aldi Nord;3;Neue Regale Aufteilung teils unübersichtlich.
Edeka;4;Teuer
Amazon;3;es gibt viel
Kaufland;4;Darum
Netto (Rot);4;Ordentlicher Laden, gutes Sortiment, freundliches Personal, ausreichend Parkplätze
Kaufland;5;Passt perfekt zu mir
Lidl;5;nah, sauber, preiswert
Netto (Rot);4;praktisch gelegen. sehr uebersichtliches layout der filiale
Aldi Nord;4;Sehr ordentlich und sauber, freundliches Personal
Kaufland;5;gefällt mir
Rewe;4;hat in der regel alles, was ich möchte
Kaufland;3;ye
Edeka;4;???
Real;5;alles in einem Geschäft-wohnungsnah
Lidl;4;gutes sortiment
Netto (Rot);4;Angebote öfters nicht da
Penny;4;Alles gut
Famila;4;Alles, was ich möchte, ist vorhanden zu gut Preisen :)
Edeka;3;leider habt die Filiale nicht immer alles da
Rewe;4;Gute Artikelauswahl
Kaufland;4;Kurze Wege, freundliches Personal,gute Angebote
Netto (Rot);5;immer frische Ware und alles zu bekommen was inseriert wurde
Rewe;3;Zentral gelegen
Rewe;5;Immer gut sortiert und freundliche Mitarbeiter
Lidl;4;Leicht zu erreichen und hat genug Parkplätze
Lidl;5;Ich kann alles Notwendige kaufen und es ist direkt in meiner Nachbarschaft.
Rewe;5;Bekomme fast immer alles was ich brauche. Nette Mitarbeiter, gute Erreichbarkeit.
Aldi Süd;5;Alles passt und ist so, wie ich es erwarte.
Edeka;5;Ist sehr gut
Netto (Rot);3;günstig
Real;2;dasda
Rewe;5;großes und gut sortiertes Sortiment
Lidl;4;hell, sauber, gute Obst/Gemüse-Abteilung
Penny;4;bisher habe ich alles bekommen
Edeka;3;teuer bei markenprodukten, schönes geschäft, freundlich
Edeka;5;ich bekomme alles was ich brauche
Kaufland;4;Hier bekomme ich alles für den täglichen Bedarf! Allerdings regt es mich auf, wenn immer wieder die einzelnen Produktgruppen plötzlich ganz wo anders platziert werden und ich suchen muss!
Aldi Nord;4;alles da was man braucht
Kaufland;5;Nah, genug Parkplätze, günstig
Edeka;5;Es gibt nichts zu kritisieren
Edeka;5;Ich bekomme dort alles, was meine Familie braucht.
Aldi Nord;5;Groß, modern, übersichtlich, gut Parkmöglichkeit
Kaufland;5;weil sehr gut
Andere;5;Ich finde alles schnell, es ist sauber, Personal freundlich
Netto (Rot);3;Obst und Gemüse ist schlecht
Aldi Nord;4;guter preis
Edeka;5;ein sehr sauberer markt und freundliches personal
Lidl;4;Gänge sind zu eng
Rewe;4;darum
Kaufland;5;keine Probleme
Edeka;5;Gute Qualität
Lidl;5;Hat ein super preis leistungs verhältnis
Edeka;5;familiäre athmosphäre
Rewe;3;sehr klein
Aldi Nord;5;Sie hat eine gute Auswahl an regionaler Produkte und gutes Preis-Leistungsverhältnis
Rewe;4;Lief alles gut.
Edeka;4;Die Ware ist immer einwandfrei
Edeka;5;Edeka hat für mich regionale Produkte
Lidl;5;Eine große Auswahl an Produkten
Norma;4;das personal wirkt meistens gestresst
Aldi Süd;2;bvnnbvnvn
Edeka;1;Nicht sauber
Kaufland;5;Freundliche Mitarbeiter, großes und gutes Warensortiment, preisgünstig
Famila;3;Das produktangebot ist sehr gut jedoch zu teuer.
Lidl;5;...............……….
Netto (Rot);4;Netto ist meine einkaufsstätte 5 Min von wohnung, für tägl. frischen Bedarf genau das richtige
Rewe;5;Freundlicher und engagierter Besitzer
Real;4;es ist nicht immer alles Vorrätig,besonders bei Angeboten
Rewe;5;Zwar nicht die groesste Auswahl, aber sehr nettes Team
Rewe;5;Sehr nettes Personal
Netto (Rot);2;unordentlicher Laden, oft nicht alles zu haben
Netto (Rot);4;Gute Angebote und günstig, jedoch teilweise sind viele Produkte ausverkauft, also nicht verfügbar
Edeka;4;Es ist okay, könnte mehr sein
Rewe;4;breites Spektrum an Lebensmitteln, immer frisch
Aldi Süd;5;gut und preiswert
Rewe;3;17
Penny;3;ok
Edeka;3;man muss viel suchen
Kaufland;5;Hat fast alles was ich brauche immer vorrätig.
Lidl;4;Es ist gut und günstig
Rewe;4;4
Penny;4;so günstig und doch vielfälltig
Rewe;4;Mit Sortiment zufrieden
Aldi Nord;5;bin mit allem zufrieden
Aldi Süd;5;Gut erreichbar
Netto (Rot);5;Isso halt
Aldi Süd;4;bin zufrieden, aber es war schon besser.
Edeka;2;ist sehr gut aber verkäufer7 kassierer unfreundlich
Netto (Rot);4;Gute Auswahl. Da ich oft leider spät einkaufe ist die Obst und Gemüse Abteilung häufig schon leer
Penny;4;Liegt günstig, Preise passen
Netto (Rot);4;habe im Prinzip nichts auszusetzen
Rewe;5;Hatte alles was ich brauche
Aldi Nord;5;Es ist immer genug Vorrat vorhanden, die Mitarbeiter sind sehr freundlich
Aldi Nord;5;Das was ich täglich brauche bekomme ich schnell und frisch
Kaufland;4;ohne Begründung
Real;5;Freundliches Personal, eine menge Artikel, alles was ich benötige,
Aldi Süd;3;xxx
Netto (Rot);5;gerne
DM;4;Gibt das was ich brauche
Kaufland;4;Alles vorhanden was ein Haushalt braucht. Die Qualität ist auch recht gut.
Edeka;4;im großen und ganzen OK
Lidl;5;Bin sehr zufrieden bei Filiale
Aldi Nord;5;Aldi hat beste Qualitaet zu günstigen Preisen und sehr freundliches Personal,ausserdem gut Fussläufig zu erreichen
Kaufland;5;man bekommt nicht immer alles
Lidl;5;gutes Warenangebot
Kaufland;4;Es ist alles frisch
Edeka;5;Es gibt nichts zubemängeln.
Lidl;5;sauber , freundliches Personal
Penny;4;Die Penny Filiale hat erst vor ein paar Monaten neu Eröffnet. Sie ist geräumig und hat ein gutes Angebot.
Edeka;5;schöner Laden, wo man alles finden kann.
Kaufland;4;gutes Angebot, gute Preise
Real;5;ich kann alles einkaufen
Aldi Nord;5;Alles vorhanden, was ich benötige
Penny;2;der laden ist dreckig und das personal nicht das freundlichste. ware wird auch vergammelt noch in die regale geräumt
Kaufland;4;ist einfach toll
Kaufland;5;Hat alles für den Wocheneinkauf.
Aldi Nord;4;Neu renoviert, übersichtlich
Edeka;4;Tolle Sonderangebote,allerdings bei Markenprodukten teilweise teuer.
Aldi Nord;4;Ich habe mich daran gewöhnt da einzukaufen
Netto (Rot);5;Übersichtlich,gute Qulitaet!
Edeka;4;hat alles was ich brauche und hat lange geöffnet
Edeka;5;Viel Auswahl, nettes Personal, schöner Laden, großer Parkplatz
Rewe;5;frische von obst gemüse  kene wartezeiten an der kasse Preiswert
Rewe;4;Auswahl und Preis okjay. Filiale könnte etwas freundlicher und größer sein.
Edeka;5;hier bekomme ich (fast) alles was ich brauche.
Edeka;3;Zu wenig Bio Produkte
Rewe;4;Die Filiale ist gut strukturiert, aber könnte etwas größer sein. So sind die Gänge ziemlich eng.
Rewe;5;Lebensmittel immer frisch, gutes Sortiment, nette Verkäufer
Lidl;4;is nett
Rewe;5;gute Auswahl
Rewe;4;Sehr übersichtlich gestaltet
Edeka;1;Klein, schmutzig, sehr unfreundlicher Besitzer. Ware nicht frisch, Abgelaufenes liegt um Regal. Sonderangebote aus dem Prospekt oft nicht vorhanden.Nutzt seine Monopolstellung aus, sonst würde hier niemand einkaufen.
Edeka;5;Angebot, Beratung, Atmosphäre
Globus;4;sehr gutes verhaltnis
Norma;5;Nettes, fachkundiges Personal, Sauberes Verkaufslokal, Im Zentrum des Ortes
Kaufland;5;sehr gutes Angebot  vernünftige Preise
Netto (Rot);3;Nicht immer ist das volle Sortiment vorhanden
Rewe;5;passt alles, angebot, parkplätze, öffnungszeiten, frische und preise
Lidl;5;alles prima
Kaufland;4;Es ist fast alles da was man braucht einen Mitarbeiter allerdings zu erwischen ist manchmal schwierig
